0
correct answer:  No change is needed.
not correct answer:  6 months.
not correct answer:  90 days.
not correct answer:  30 days.
question:  Your company has an Azure subscription that contains the following unused resources: 20 user accounts in Azure Active Directory (Azure AD) Five groups in Azure AD 10 public IP addresses 10 network interfaces You need to reduce the Azure costs for the company. Does this meet the goal?
not correct answer:  Yes.
correct answer:  No.
question:  Your company has an Azure subscription that contains the following unused 20 user accounts in Azure Active Directory (Azure AD) Five groups In Azure AD 10 public IP addresses 10 network interfaces You need to reduce the Azure costs for the company. Does this meet the goal?
not correct answer:  Yes.
correct answer:  No.
"question:  A support plan solution that gives you best practice information, health status and notifications, and 24/7 access to billing information at the lowest possible cost is a Standard support plan. Instructions: Review the underlined text. If it makes the statement correct, select ""No change is needed"". If the statement is incorrect, select the answer choice that makes the statement correct."
not correct answer:  No change is needed.
not correct answer:  Developer.
correct answer:  Basic.
not correct answer:  Premier.
question:  In which Azure support plans can you open a neW support request?
not correct answer:  Premier and Professional Direct only.
"not correct answer:  Premier, Professional Direct, and Standard only."
"correct answer:  Premier, Professional Direct, Standard, and Developer only."
"not correct answer:  Premier, Professional Direct, Standard, Developer, and Basic."
question:  You can create an Azure support request from support.microsoft.com
not correct answer:  No change is needed.
correct answer:  The Azure portal.
not correct answer:  The Knowledge Center.
not correct answer:  The Security & Compliance admin center.
question:  The Azure Standard support plan is the lowest cost option to receive 24x7 access to support engineers by phone.
correct answer:  No change is needed.
not correct answer:  Developer.
not correct answer:  Basic.
not correct answer:  Professional Direct.
question:  All Azure services thal are In public preview are provided without any documentalion
not correct answer:  No change is needed.
not correct answer:  Only configurable from Azure CLI.
correct answer:  Excluded from the Service Level Agreements.
not correct answer:  Only configurable from the Azure portal.
question:  What is guaranteed in an Azure Service Level Agreement (SLA) for virtual machines?
correct answer:  Uptime.
not correct answer:  Feature avalability.
not correct answer:  Bandwidth.
not correct answer:  Performance.
question:  An Azure service is available to all Azure customers when it is in public preview.
correct answer:  No change is needed.
not correct answer:  Private preview.
not correct answer:  Development.
not correct answer:  An Enterprise Agreement (EA) subscription.
question:  Your company plans to purchase an Azure subscription. The company's support policy states that the Azure environment must provide an option to access support engineers by phone or email. You need to recommend which support plan meets the support policy requirement. Does this meet the goal?
not correct answer:  Yes.
correct answer:  No.
question:  Your company plans to request an architectural review of an Azure environment from Microsoft. The company currently has a Basic support plan. You need to recommend a new support plan for the company. The solution must minimize costs. Which support plan should you recommend?
correct answer:  Premier.
not correct answer:  Developer.
not correct answer:  Professional Direct.
not correct answer:  Standard.
question:  What is required to use Azure Cost Management?
not correct answer:  A Dev/Test subscription.
not correct answer:  Software Assurance.
correct answer:  An Enterprise Agreement (EA).
not correct answer:  A pay-as-you-go subscription.
question:  Your Azure trial account expired last week. You are now unable to create additional Azure Active Directory (Azure AD) user accounts.
not correct answer:  No change is needed.
correct answer:  Start an existing Azure virtual machine.
not correct answer:  Access your data stored in Azure.
not correct answer:  Access the Azure portal.
"question:  Your company plans to purchase an Azure subscription, The company's support policy states that the Azure environment must provide an option to access support engineers by phone or email. You need to recommend which support plan meets the support policy requirement. Does this meet the goal?"
correct answer:  Yes.
not correct answer:  No.
question:  Your company has 10 departments. The company plans to implement Azure environment. You need to ensure that each department can use a different payment option for the Azure services it consumes. What should you create for each department?
not correct answer:  A reservation.
correct answer:  A subscription.
not correct answer:  A resource group.
not correct answer:  A container instance.
question:  Which statement accurately describes the Modem Lifecycle Policy for Azure services?
not correct answer:  Microsoft provides mainstream support for a service for five years.
correct answer:  Microsoft provides a minimum of 12 months notice before ending support for a service.
"not correct answer:  After a service is made generally available, Microsoft provides support for the service for a minimum of four years."
"not correct answer:  When a service is retired, you can purchase extended support for the service for up to five years."
"question:  You can use Advisor recommendations in Azure to send email alerts when the cost of the current billing Azure subscription exceeds a specified limit. Instructions: Review the underlined text. If it makes the statement correct, select ""No change is needed."" If the staterment is incorrect, select the answer choice that makes the statement correct"
not correct answer:  No change is needed.
not correct answer:  Access control (LAM).
correct answer:  Budget alerts.
not correct answer:  Compliance.
"question:  For each of the following statements, select Yes if the statement is true, Otherwise, select No. To implement a hybrid cloud model, a company must first have a private cloud."
not correct answer:  Yes.
correct answer:  No.
"question:  For each of the following statements, select Yes if the statement is true, Otherwise, select No. A company can extend the computing resources of its internal network by using a hybrnd cloud."
correct answer:  Yes.
not correct answer:  No.
"question:  For each of the following statements, select Yes if the statement is true, Otherwise, select No. In a public cloud model, only guest users at your company can access the resources in the cloud."
not correct answer:  Yes.
correct answer:  No.
question:  You have an on-premises network that contains several servers. You plan to migrate all the servers to Azure. You need to recommend a solution to ensure that some of the servers are available if a single Azure data center goes offline for an extended period. What should you include in the recommendation?
correct answer:  Fault tolerance.
not correct answer:  Elasticity.
not correct answer:  Scalability.
not correct answer:  Low latency.
"question:  An organization that hosts its infrastructure [in a private cloud] can close its data center. Instructions: Review the underlined text. If it makes the statement correct, select “No change is needed”. If the statement is incorrect, select the answer choice that makes the statement correct."
not correct answer:  No change is needed.
not correct answer:  In a hybrid cloud.
correct answer:  In the public cloud.
not correct answer:  On a Hyper-V host.
question:  What are two characteristics of the public cloud? Each correct answer presents a complete solution. NOTE: Each correct selection is worth one point.
not correct answer:  Dedicated hardware.
not correct answer:  Unsecured connections.
not correct answer:  Limited storage.
correct answer:  Metered pricing.
correct answer:  Self-service management.
question:  Your company plans to migrate all its data and resources to Azure. The company’s migration plan states that only Platform as a Service (PaaS) solutions must be used in Azure. You need to deploy an Azure environment that meets the company migration plan. Solution: You create an Azure App Service and Azure SQL databases. Does this meet the goal?
correct answer:  Yes.
not correct answer:  No.
question:  Your company plans to migrate all its data and resources to Azure. The company’s migration plan states that only Platform as a Service (PaaS) solutions must be used in Azure. You need to deploy an Azure environment that meets the company migration plan. Solution: You create an Azure App Service and Azure virtual machines that have Microsoft SQL Server installed. Does this meet the goal?
not correct answer:  Yes.
correct answer:  No.
question:  Your company plans to migrate all its data and resources to Azure. The company’s migration plan states that only Platform as a Service (PaaS) solutions must be used in Azure. You need to deploy an Azure environment that meets the company migration plan. Solution: You create an Azure App Service and Azure Storage accounts. Does this meet the goal?
not correct answer:  Yes.
correct answer:  No.
question:  Your company hosts an accounting application named App1 that is used by all the customers of the company. App1 has low usage during the first three weeks of each month and very high usage during the last week of each month. Which benefit of Azure Cloud Services supports cost management for this type of usage pattern?
not correct answer:  High availability.
not correct answer:  High latency.
correct answer:  Elasticity.
not correct answer:  Load balancing.
question:  You plan to deploy several Azure virtual machines. You need to ensure that the services running on the virtual machines are available if a single data center fails. Solution: You deploy the virtual machines to two or more scale sets. Does this meet the goal?
not correct answer:  Yes.
correct answer:  No.
question:  Your company has an on-premises network that contains multiple servers. The company plans to reduce the following administrative responsibilities of network administrators: Backing up application data Replacing failed server hardware Managing physical server security Updating server operating systems Managing permissions to shared documents The company plans to migrate several servers to Azure virtual machines. You need to identify which administrative responsibilities will be eliminated after the planned migration. Which two responsibilities should you identify? Each correct answer presents a complete solution. NOTE: Each correct selection is worth one point.
correct answer:  Replacing failed server hardware.
not correct answer:  Backing up application data.
correct answer:  Managing physical server security.
not correct answer:  Updating server operating systems.
not correct answer:  Managing permissions to shared documents.
question:  You plan to provision Infrastructure as a Service (IaaS) resources in Azure. Which resource is an example of IaaS?
not correct answer:  An Azure web app.
correct answer:  An Azure virtual machine.
not correct answer:  An Azure logic app.
not correct answer:  An Azure SQL database.
"question:  Your company plans to migrate all its data and resources to Azure. The company’s migration plan states that only Platform as a Service (PaaS) solutions must be used in Azure. You need to deploy an Azure environment that meets the company migration plan. Solution: You create an Azure virtual machines, Azure SQL databases, and Azure Storage accounts. Does this meet the goal?"
not correct answer:  Yes.
correct answer:  No.
"question:  An Azure region [contains one or more data centers that are connected by using a low-latency network.] Instructions: Review the underlined text. If it makes the statement correct, select “No change is needed”. If the statement is incorrect, select the answer choice that makes the statement correct."
correct answer:  No change is needed.
not correct answer:  Is found in each country where Microsoft has a subsidiary office.
not correct answer:  Can be found in every country in Europe and the Americas only.
not correct answer:  Contains one or more data centers that are connected by using a high-latency network.
"question:  A team of developers at your company plans to deploy, and then remove, 50 customized virtual machines each week. Thirty of the virtual machines run Windows Server 2016 and 20 of the virtual machines run Ubuntu Linux. You need to recommend which Azure service will minimize the administrative effort required to deploy and remove the virtual machines. What should you recommend?"
not correct answer:  Azure Reserved Virtual Machines (VM) Instances.
not correct answer:  Azure virtual machine scale sets.
correct answer:  Azure DevTest Labs.
not correct answer:  Microsoft Managed Desktop.
"question:  One of the benefits of Azure SQL Data Warehouse is that [high availability] is built into the platform. Instructions: Review the underlined text. If it makes the statement correct, select “No change is needed”. If the statement is incorrect, select the answer choice that makes the statement correct."
correct answer:  No change is needed.
not correct answer:  Automatic scaling.
not correct answer:  Data compression.
not correct answer:  Versioning.
question:  You plan to store 20 TB of data in Azure. The data will be accessed infrequently and visualized by using Microsoft Power BI. You need to recommend a storage solution for the data. Which two solutions should you recommend? Each correct answer presents a complete solution. NOTE: Each correct selection is worth one point.
correct answer:  Azure Data Lake.
not correct answer:  Azure Cosmos DB.
correct answer:  Azure SQL Data Warehouse.
not correct answer:  Azure SQL Database.
not correct answer:  Azure Database for PostgreSQL.
question:  You need to identify the type of failure for which an Azure Availability Zone can be used to protect access to Azure services. What should you identify?
not correct answer:  A physical server failure.
not correct answer:  An Azure region failure.
not correct answer:  A storage failure.
correct answer:  An Azure data center failure.
question:  An Azure administrator plans to run a PowerShell script that creates Azure resources. You need to recommend which computer configuration to use to run the script. Solution: Run the script from a computer that runs Chrome OS and uses Azure Cloud Shell. Does this meet the goal?
correct answer:  Yes.
not correct answer:  No.
question:  An Azure administrator plans to run a PowerShell script that creates Azure resources. You need to recommend which computer configuration to use to run the script. Solution: Run the script from a computer that runs macOS and has PowerShell Core 6.0 installed. Does this meet the goal?
correct answer:  Yes.
not correct answer:  No.
question:  You have an Azure environment that contains 10 virtual networks and 100 virtual machines. You need to limit the amount of inbound traffic to all the Azure virtual networks. What should you create?
not correct answer:  One application security group (ASG).
not correct answer:  10 virtual network gateways.
not correct answer:  10 Azure ExpressRoute circuits.
correct answer:  One Azure firewall.
question:  You have an Azure environment that contains multiple Azure virtual machines. You plan to implement a solution that enables the client computers on your on-premises network to communicate to the Azure virtual machines. You need to recommend which Azure resources must be created for the planned solution. Which two Azure resources should you include in the recommendation? Each correct answer presents part of the solution. NOTE: Each correct selection is worth one point.
correct answer:  A virtual network gateway.
not correct answer:  A load balancer.
not correct answer:  An application gateway.
not correct answer:  A virtual network.
correct answer:  A gateway subnet.
question:  Your company plans to move several servers to Azure. The company’s compliance policy states that a server named FinServer must be on a separate network segment. You are evaluating which Azure services can be used to meet the compliance policy requirements. Which Azure solution should you recommend?
not correct answer:  A resource group for FinServer and another resource group for all the other servers.
correct answer:  A virtual network for FinServer and another virtual network for all the other servers.
not correct answer:  A VPN for FinServer and a virtual network gateway for each other server.
not correct answer:  One resource group for all the servers and a resource lock for FinServer.
question:  You have an on-premises application that sends email notifications automatically based on a rule. You plan to migrate the application to Azure. You need to recommend a serverless computing solution for the application. What should you include in the recommendation?
not correct answer:  A web app.
not correct answer:  A server image in Azure Marketplace.
correct answer:  A logic app.
not correct answer:  An API app.
"question:  You have an application that is comprised of an Azure web app that has a Service Level Agreement (SLA) of 99.95 percent and an Azure SQL database that has an SLA of 99.99 percent. The composite SLA for the application is [the product of both SLAs, which equals 99.94 percent.] Instructions: Review the underlined text. If it makes the statement correct, select “No change is needed”. If the statement is incorrect, select the answer choice that makes the statement correct."
correct answer:  No change is needed.
"not correct answer:  The lowest SLA associated to the application, which is 99.95 percent."
"not correct answer:  The highest SLA associated to the application, which is 99.99 percent."
"not correct answer:  The difference between the two SLAs, which is 0.05 percent."
"question:  Note: This question is part of a series of questions that present the same scenario. Each question in the series contains a unique solution that might meet the stated goals. Some question sets might have more than one correct solution, while others might not have a correct solution. After you answer a question in this section, you will NOT be able to return to it. As a result, these questions will not appear in the review screen. You have an Azure subscription named Subscription1. You sign in to the Azure portal and create a resource group named RG1. From Azure documentation, you have the following command that creates a virtual machine named VM1. az vm create --resource-group RG1 --name VM1 --image UbuntuLTS --generate-sshkeys You need to create VM1 in Subscription1 by using the command. Solution: From the Azure portal, launch Azure Cloud Shell and select PowerShell. Run the command in Cloud Shell. Does this meet the goal?"
correct answer:  Yes.
not correct answer:  No.
"question:  You have an Azure subscription named Subscription1. You sign in to the Azure portal and create a resource group named RG1. From Azure documentation, you have the following command that creates a virtual machine named VM1. az vm create --resource-group RG1 --name VM1 --image UbuntuLTS --generate-ssh-keys You need to create VM1 in Subscription1 by using the command. Solution: From a computer that runs Windows 10, install Azure CLI. From PowerShell, sign in to Azure and then run the command. Does this meet the goal?"
not correct answer:  Yes.
correct answer:  No.
"question:  You have an Azure subscription named Subscription1. You sign in to the Azure portal and create a resource group named RG1. From Azure documentation, you have the following command that creates a virtual machine named VM1. az vm create --resource-group RG1 --name VM1 --image UbuntuLTS --generate-ssh-keys You need to create VM1 in Subscription1 by using the command. Solution: From a computer that runs Windows 10, install Azure CLI. From a command prompt, sign in to Azure and then run the command. Does this meet the goal?"
not correct answer:  Yes.
correct answer:  No.
"question:  You have an Azure subscription named Subscription1. You sign in to the Azure portal and create a resource group named RG1. From Azure documentation, you have the following command that creates a virtual machine named VM1. az vm create --resource-group RG1 --name VM1 --image UbuntuLTS --generate-sshkeys You need to create VM1 in Subscription1 by using the command. Solution: From the Azure portal, launch Azure Cloud Shell and select Bash. Run the command in Cloud Shell. Does this meet the goal?"
correct answer:  Yes.
not correct answer:  No.
question:  You have an Azure environment. You need to create a new Azure virtual machine from a tablet that runs the Android operating system. Solution: You use PowerShell in Azure Cloud Shell. Does this meet the goal?
correct answer:  Yes.
not correct answer:  No.
"question:  [Azure Databricks] is an Apache Spark-based analytics service. Instructions: Review the underlined text. If it makes the statement correct, select “No change is needed.” If the statement is incorrect, select the answer choice that makes the statement correct."
correct answer:  No change is needed.
not correct answer:  Azure Data Factory.
not correct answer:  Azure DevOps.
not correct answer:  Azure HDInsight.
"question:  Azure Site Recovery provides [fault tolerance] for virtual machines. Instructions: Review the underlined text. If it makes the statement correct, select “No change is needed.” If the statement is incorrect, select the answer choice that makes the statement correct."
not correct answer:  No change is needed.
correct answer:  Disaster recovery.
not correct answer:  Elasticity.
not correct answer:  High availability.
"question:  An Availability Zone in Azure has physically separate locations [across two continents.] Instructions: Review the underlined text. If it makes the statement correct, select “No change is needed.” If the statement is incorrect, select the answer choice that makes the statement correct."
not correct answer:  No change is needed.
not correct answer:  Within a single Azure region.
not correct answer:  Within multiple Azure regions.
not correct answer:  Within a single Azure datacenter.
question:  Your company plans to migrate all on-premises data to Azure. You need to identify whether Azure complies with the company’s regional requirements. What should you use?
not correct answer:  The Knowledge Center.
not correct answer:  Azure Marketplace.
not correct answer:  The MyApps portal.
correct answer:  The Trust Center.
"question:  Azure Key Vault is used to store secrets for [Azure Active Directory (Azure AD) user accounts.] Instructions: Review the underlined text. If it makes the statement correct, select “No change is needed”. If the statement is incorrect, select the answer choice that makes the statement correct."
not correct answer:  No change is needed.
not correct answer:  Azure Active Directory (Azure AD) administrative accounts.
not correct answer:  Personally Identifiable Information (PII).
correct answer:  Server applications.
"question:  After you create a virtual machine, you need to modify the [network security group (NSG)] to allow connections to TCP port 8080 on the virtual machine. Instructions: Review the underlined text. If it makes the statement correct, select “No change is needed”. If the statement is incorrect, select the answer choice that makes the statement correct."
correct answer:  No change is needed.
not correct answer:  Virtual network gateway.
not correct answer:  Virtual network.
not correct answer:  Route table.
question:  Your Azure environment contains multiple Azure virtual machines. You need to ensure that a virtual machine named VM1 is accessible from the Internet over HTTP. Solution: You modify a network security group (NSG). Does this meet the goal?
correct answer:  Yes.
not correct answer:  No.
question:  Your Azure environment contains multiple Azure virtual machines. You need to ensure that a virtual machine named VM1 is accessible from the Internet over HTTP. Solution: You modify a DDoS protection plan. Does this meet the goal?
not correct answer:  Yes.
correct answer:  No.
"question:  [Resource groups] provide organizations with the ability to manage the compliance of Azure resources across multiple subscriptions. Instructions: Review the underlined text. If it makes the statement correct, select “No change is needed”. If the statement is incorrect, select the answer choice that makes the statement correct."
not correct answer:  No change is needed.
not correct answer:  Management groups.
correct answer:  Azure policies.
not correct answer:  Azure App Service plans.
"question:  Your network contains an Active Directory forest. The forest contains 5,000 user accounts. Your company plans to migrate all network resources to Azure and to decommission the on-premises data center. You need to recommend a solution to minimize the impact on users after the planned migration. What should you recommend?"
not correct answer:  Implement Azure Multi-Factor Authentication (MFA).
correct answer:  Sync all the Active Directory user accounts to Azure Active Directory (Azure AD).
not correct answer:  Instruct all users to change their password.
not correct answer:  Create a guest user account in Azure Active Directory (Azure AD) for each user.
question:  What should you use to evaluate whether your company’s Azure environment meets regulatory requirements?
not correct answer:  The Knowledge Center website.
not correct answer:  The Advisor blade from the Azure portal.
correct answer:  Compliance Manager from the Service Trust Portal.
not correct answer:  The Security Center blade from the Azure portal.
"question:  From [Azure Monitor], you can view which user turned off a specific virtual machine during the last 14 days. Instructions: Review the underlined text. If it makes the statement correct, select “No change is needed”. If the statement is incorrect, select the answer choice that makes the statement correct."
not correct answer:  No change is needed.
not correct answer:  Azure Event Hubs.
correct answer:  Azure Activity Log.
not correct answer:  Azure Service Health.
"question:  From [Azure Cloud Shell], you can track your company’s regulatory standards and regulations, such as ISO 27001. Instructions: Review the underlined text. If it makes the statement correct, select “No change is needed.” If the statement is incorrect, select the answer choice that makes the statement correct."
not correct answer:  No change is needed.
not correct answer:  The Microsoft Cloud Partner Portal.
correct answer:  Compliance Manager.
not correct answer:  The Trust Center.
"question:  The [Microsoft Online Services Privacy Statement] explains what data Microsoft processes, how Microsoft processes the data, and the purpose of processing the data. Instructions: Review the underlined text. If it makes the statement correct, select “No change is needed.” If the statement is incorrect, select the answer choice that makes the statement correct."
correct answer:  No change is needed.
not correct answer:  Microsoft Online Services Terms.
not correct answer:  Microsoft Online Service Level Agreement.
not correct answer:  Online Subscription Agreement for Microsoft Azure.
"question:  If Microsoft plans to end support for an Azure service that does NOT have a successor service, Microsoft will provide notification at least [12 months] before. Instructions: Review the underlined text. If it makes the statement correct, select “No change is needed”. If the statement is incorrect, select the answer choice that makes the statement correct."
correct answer:  No change is needed.
not correct answer:  6 months.
not correct answer:  90 days.
not correct answer:  30 days.
question:  Your company has an Azure subscription that contains the following unused resources: 20 user accounts in Azure Active Directory (Azure AD) Five groups in Azure AD 10 public IP addresses 10 network interfaces You need to reduce the Azure costs for the company. Solution: You remove the unused network interfaces. Does this meet the goal?
not correct answer:  Yes.
correct answer:  No.
question:  Your company has an Azure subscription that contains the following unused resources: 20 user accounts in Azure Active Directory (Azure AD) Five groups in Azure AD 10 public IP addresses 10 network interfaces You need to reduce the Azure costs for the company. Solution: You remove the unused public IP addresses. Does this meet the goal?
correct answer:  Yes.
not correct answer:  No.
question:  Your company has an Azure subscription that contains the following unused resources: 20 user accounts in Azure Active Directory (Azure AD) Five groups in Azure AD 10 public IP addresses 10 network interfaces You need to reduce the Azure costs for the company. Solution: You remove the unused user accounts. Does this meet the goal?
not correct answer:  Yes.
correct answer:  No.
"question:  A support plan solution that gives you best practice information, health status and notifications, and 24/7 access to billing information at the lowest possible cost is a [Standard] support plan. Instructions: Review the underlined text. If it makes the statement correct, select “No change is needed”. If the statement is incorrect, select the answer choice that makes the statement correct."
not correct answer:  No change is needed.
not correct answer:  Developer.
correct answer:  Basic.
not correct answer:  Premier.
"question:  You can create an Azure support request from [support.microsoft.com.] Instructions: Review the underlined text. If it makes the statement correct, select “No change is needed.” If the statement is incorrect, select the answer choice that makes the statement correct."
not correct answer:  No change is needed.
not correct answer:  The Azure portal.
not correct answer:  The Knowledge Center.
not correct answer:  The Security & Compliance admin center.
question:  Your company has an Azure subscription that contains the following unused resources: 20 user accounts in Azure Active Directory (Azure AD) Five groups in Azure AD 10 public IP addresses 10 network interfaces You need to reduce the Azure costs for the company. Solution: You remove the unused groups. Does this meet the goal?
not correct answer:  Yes.
correct answer:  No.
"question:  The Azure [Standard] support plan is the lowest cost option to receive 24×7 access to support engineers by phone. Instructions: Review the underlined text. If it makes the statement correct, select “No change is needed”. If the statement is incorrect, select the answer choice that makes the statement correct."
correct answer:  No change is needed.
not correct answer:  Developer.
not correct answer:  Basic.
not correct answer:  Professional Direct.
"question:  All Azure services that are in public preview are [provided without any documentation.] Instructions: Review the underlined text. If it makes the statement correct, select “No change is needed”. If the statement is incorrect, select the answer choice that makes the statement correct."
not correct answer:  No change is needed.
not correct answer:  Only configurable from Azure CLI.
correct answer:  Excluded from the Service Level Agreements.
not correct answer:  Only configurable from the Azure portal.
"question:  An Azure service is available to all Azure customers when it is in [public preview.] Instructions: Review the underlined text. If it makes the statement correct, select “No change is needed”. If the statement is incorrect, select the answer choice that makes the statement correct."
correct answer:  No change is needed.
not correct answer:  Private preview.
not correct answer:  Development.
not correct answer:  An Enterprise Agreement (EA) subscription.
question:  Your company plans to purchase an Azure subscription. The company’s support policy states that the Azure environment must provide an option to access support engineers by phone or email. You need to recommend which support plan meets the support policy requirement. Solution: Recommend a Basic support plan. Does this meet the goal?
not correct answer:  Yes.
correct answer:  No.
"question:  Note: The question is included in a number of questions that depicts the identical set-up. However, every question has a distinctive result. Establish if the solution satisfies the requirements. Your company has an on-premises network with numerous servers, which they intend to migrate to Azure. You have been tasked with devising a plan that allows for the availability of a few of the servers, in the event that one of the Azure data centers becomes unavailable for a lengthy interval. Solution: You should include elasticity in your plan. Does the solution meet the goal?"
not correct answer:  Yes.
correct answer:  No.
"question:  Note: The question is included in a number of questions that depicts the identical set-up. However, every question has a distinctive result. Establish if the solution satisfies the requirements. Your company has an on-premises network with numerous servers, which they intend to migrate to Azure. You have been tasked with devising a plan that allows for the availability of a few of the servers, in the event that one of the Azure data centers becomes unavailable for a lengthy interval. Solution: You should include scalability in your plan. Does the solution meet the goal?"
not correct answer:  Yes.
correct answer:  No.
"question:  Note: The question is included in a number of questions that depicts the identical set-up. However, every question has a distinctive result. Establish if the solution satisfies the requirements. Your company has an on-premises network with numerous servers, which they intend to migrate to Azure. You have been tasked with devising a plan that allows for the availability of a few of the servers, in the event that one of the Azure data centers becomes unavailable for a lengthy interval. Solution: You should include fault tolerance in your plan. Does the solution meet the goal?"
correct answer:  Yes.
not correct answer:  No.
"question:  Note: The question is included in a number of questions that depicts the identical set-up. However, every question has a distinctive result. Establish if the solution satisfies the requirements. You are tasked with deploying Azure virtual machines for your company. You need to make use of the appropriate cloud deployment solution. Solution: You should make use of Software as a Service (SaaS). Does the solution meet the goal?"
not correct answer:  Yes.
correct answer:  No.
"question:  Note: The question is included in a number of questions that depicts the identical set-up. However, every question has a distinctive result. Establish if the solution satisfies the requirements. You are tasked with deploying Azure virtual machines for your company. You need to make use of the appropriate cloud deployment solution. Solution: You should make use of Platform as a Service (PaaS). Does the solution meet the goal?"
not correct answer:  Yes.
correct answer:  No.
"question:  Note: The question is included in a number of questions that depicts the identical set-up. However, every question has a distinctive result. Establish if the solution satisfies the requirements. You are tasked with deploying Azure virtual machines for your company. You need to make use of the appropriate cloud deployment solution. Solution: You should make use of Infrastructure as a Service (IaaS). Does the solution meet the goal?"
correct answer:  Yes.
not correct answer:  No.
"question:  Note: The question is included in a number of questions that depicts the identical set-up. However, every question has a distinctive result. Establish if the solution satisfies the requirements. Your companyג€™s on-premises network includes a large number of servers. They would like to make extra resources available to their users, while keeping capital and operational overheads to a minimum. You are required to make recommendations that should be included in the overall solution. Solution: You should indorse the use of an added data center as part of the solution. Does the solution meet the goal?"
not correct answer:  Yes.
correct answer:  No.
"question:  Note: The question is included in a number of questions that depicts the identical set-up. However, every question has a distinctive result. Establish if the solution satisfies the requirements. Your companyג€™s on-premises network includes a large number of servers. They would like to make extra resources available to their users, while keeping capital and operational overheads to a minimum. You are required to make recommendations that should be included in the overall solution. Solution: You should indorse the use of a hybrid cloud as part of the solution. Does the solution meet the goal?"
not correct answer:  Yes.
correct answer:  No.
"question:  Note: The question is included in a number of questions that depicts the identical set-up. However, every question has a distinctive result. Establish if the solution satisfies the requirements. Your companyג€™s on-premises network includes a large number of servers. They would like to make extra resources available to their users, while keeping capital and operational overheads to a minimum. You are required to make recommendations that should be included in the overall solution. Solution: You should indorse the use of a private cloud as part of the solution. Does the solution meet the goal?"
correct answer:  Yes.
not correct answer:  No.
"question:  Note: The question is included in a number of questions that depicts the identical set-up. However, every question has a distinctive result. Establish if the solution satisfies the requirements. Your company is planning to migrate all their virtual machines to an Azure pay-as-you-go subscription. The virtual machines are currently hosted on the Hyper-V hosts in a data center. You are required make sure that the intended Azure solution uses the correct expenditure model. Solution: You should recommend the use of the elastic expenditure model. Does the solution meet the goal?"
not correct answer:  Yes.
correct answer:  No.
"question:  Note: The question is included in a number of questions that depicts the identical set-up. However, every question has a distinctive result. Establish if the solution satisfies the requirements. Your company is planning to migrate all their virtual machines to an Azure pay-as-you-go subscription. The virtual machines are currently hosted on the Hyper-V hosts in a data center. You are required make sure that the intended Azure solution uses the correct expenditure model. Solution: You should recommend the use of the scalable expenditure model. Does the solution meet the goal?"
not correct answer:  Yes.
correct answer:  No.
"question:  Note: The question is included in a number of questions that depicts the identical set-up. However, every question has a distinctive result. Establish if the solution satisfies the requirements. Your company is planning to migrate all their virtual machines to an Azure pay-as-you-go subscription. The virtual machines are currently hosted on the Hyper-V hosts in a data center. You are required make sure that the intended Azure solution uses the correct expenditure model. Solution: You should recommend the use of the operational expenditure model. Does the solution meet the goal?"
correct answer:  Yes.
not correct answer:  No.
"question:  Note: The question is included in a number of questions that depicts the identical set-up. However, every question has a distinctive result. Establish if the solution satisfies the requirements. You are required to deploy an Artificial Intelligence (AI) solution in Azure. You want to make sure that you are able to build, test, and deploy predictive analytics for the solution. Solution: You should make use of Azure Cosmos DB. Does the solution meet the goal?"
not correct answer:  Yes.
correct answer:  No.
"question:  Note: The question is included in a number of questions that depicts the identical set-up. However, every question has a distinctive result. Establish if the solution satisfies the requirements. You are required to deploy an Artificial Intelligence (AI) solution in Azure. You want to make sure that you are able to build, test, and deploy predictive analytics for the solution. Solution: You should make use of Azure Logic Apps. Does the solution meet the goal?"
not correct answer:  Yes.
correct answer:  No.
"question:  Note: The question is included in a number of questions that depicts the identical set-up. However, every question has a distinctive result. Establish if the solution satisfies the requirements. You are required to deploy an Artificial Intelligence (AI) solution in Azure. You want to make sure that you are able to build, test, and deploy predictive analytics for the solution. Solution: You should make use of Azure Machine Learning Studio. Does the solution meet the goal?"
correct answer:  Yes.
not correct answer:  No.
"question:  Note: The question is included in a number of questions that depicts the identical set-up. However, every question has a distinctive result. Establish if the solution satisfies the requirements. Your companyג€™s infrastructure includes a number of business units that each need a large number of various Azure resources for everyday operation. The resources required by each business unit are identical. You are required to sanction a strategy to create Azure resources automatically. Solution: You recommend that the Azure API Management service be included in the strategy. Does the solution meet the goal?"
not correct answer:  Yes.
correct answer:  No.
"question:  Note: The question is included in a number of questions that depicts the identical set-up. However, every question has a distinctive result. Establish if the solution satisfies the requirements. Your companyג€™s infrastructure includes a number of business units that each need a large number of various Azure resources for everyday operation. The resources required by each business unit are identical. You are required to sanction a strategy to create Azure resources automatically. Solution: You recommend that management groups be included in the strategy. Does the solution meet the goal?"
not correct answer:  Yes.
correct answer:  No.
"question:  Note: The question is included in a number of questions that depicts the identical set-up. However, every question has a distinctive result. Establish if the solution satisfies the requirements. Your companyג€™s infrastructure includes a number of business units that each need a large number of various Azure resources for everyday operation. The resources required by each business unit are identical. You are required to sanction a strategy to create Azure resources automatically. Solution: You recommend that the Azure Resource Manager templates be included in the strategy. Does the solution meet the goal?"
correct answer:  Yes.
not correct answer:  No.
